Date/Time,CELLS:ROOMX1:Zone Outdoor Air Drybulb Temperature [C](TimeStep),PEOPLE CELLS:ROOMX1:People Occupant Count [](TimeStep),CELLS:ROOMX1:Zone Mean Radiant Temperature [C](TimeStep),CELLS:ROOMX1:Zone Mean Air Temperature [C](TimeStep),CELLS:ROOMX1:Zone Air Relative Humidity [%](TimeStep),CELLS:ROOMX1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  00:10:00,-2.8927583267346508,0.0,7.670619549832496,7.0828872986884179,41.839747846845209,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,166874.78162415914,0.0 
 01/01  00:20:00,-2.3760916600679846,0.0,7.65311243317089,7.086892321552718,41.73659906662083,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,166009.41075270999,0.0 
 01/01  00:30:00,-1.8594249934013172,0.0,7.639094699414591,7.099071925962292,41.64197611851053,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,165099.2260502031,0.0 
 01/01  00:40:00,-1.3427583267346508,0.0,7.627146697215621,7.11419937903255,41.56760772402915,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,164128.50452007535,0.0 
 01/01  00:50:00,-0.8260916600679839,0.0,7.616715761875539,7.130398324773278,41.51446201221224,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,163090.82886383896,0.0 
 01/01  01:00:00,-0.3094249934013173,0.0,7.607922934472643,7.14785997508197,41.47773823531281,0.0,5812.315488,0.0,987183.2105646666,0.0,,,,,,,,,,,,,968.719248,0.0,161980.45875368003,0.0 
 01/01  01:10:00,-0.37609166006798397,0.0,7.593529599090733,7.151906487558825,41.51230690492568,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,162602.10443212975,0.0 
 01/01  01:20:00,-0.44275832673465068,0.0,7.578479169662023,7.141579816666307,41.58135268936522,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,163158.7713789077,0.0 
 01/01  01:30:00,-0.5094249934013173,0.0,7.562104187793045,7.123687582599289,41.66274535586792,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,163678.92117455987,0.0 
 01/01  01:40:00,-0.576091660067984,0.0,7.544751359424164,7.103961337366319,41.740371556759559,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,164180.90578367483,0.0 
 01/01  01:50:00,-0.6427583267346506,0.0,7.527117375771943,7.0846011057951518,41.8087984404757,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,164674.7007092127,0.0 
 01/01  02:00:00,-0.7094249934013173,0.0,7.509290071259,7.06558035138117,41.86880318785208,0.0,5812.315488,0.0,983458.101438882,0.0,,,,,,,,,,,,,968.719248,0.0,165162.69796039715,0.0 
 01/01  02:10:00,-0.8094249934013174,0.0,7.491649083684297,7.045713000255477,41.92413370081607,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,165749.06126971148,0.0 
 01/01  02:20:00,-0.9094249934013173,0.0,7.473883973165506,7.024752226496388,41.97508173842244,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,166334.79905265987,0.0 
 01/01  02:30:00,-1.0094249934013174,0.0,7.456052757276677,7.003119445788274,42.020629135952329,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,166926.97261704459,0.0 
 01/01  02:40:00,-1.1094249934013175,0.0,7.438114263784038,6.98123312222033,42.05985740483792,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,167530.0927593773,0.0 
 01/01  02:50:00,-1.2094249934013175,0.0,7.420176992361184,6.959289238354574,42.0925090858162,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,168146.57240477767,0.0 
 01/01  03:00:00,-1.3094249934013174,0.0,7.402211832585499,6.937310008675481,42.118810560738008,0.0,5812.315488,0.0,1003464.4931757625,0.0,,,,,,,,,,,,,968.719248,0.0,168776.99507219159,0.0 
 01/01  03:10:00,-1.3427583267346508,0.0,7.384604159581384,6.916844851019967,42.14053714079958,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,169212.91581024417,0.0 
 01/01  03:20:00,-1.376091660067984,0.0,7.367212304344353,6.897969737021317,42.1658302433276,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,169659.7098041455,0.0 
 01/01  03:30:00,-1.4094249934013173,0.0,7.3501143982400969,6.879956005785488,42.198356719060608,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,170113.29041076255,0.0 
 01/01  03:40:00,-1.4427583267346507,0.0,7.333274366972865,6.862210508540734,42.23954081062822,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,170570.60622068164,0.0 
 01/01  03:50:00,-1.4760916600679839,0.0,7.316623000806963,6.844519510970067,42.28927217407005,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,171029.38693336879,0.0 
 01/01  04:00:00,-1.5094249934013174,0.0,7.300158842184924,6.826900805197144,42.346845045368528,0.0,5812.315488,0.0,1022074.2623276899,0.0,,,,,,,,,,,,,968.719248,0.0,171488.35314848726,0.0 
 01/01  04:10:00,-1.6427583267346507,0.0,7.282645154015281,6.8067769957397818,42.40809726359767,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,172253.6956128475,0.0 
 01/01  04:20:00,-1.776091660067984,0.0,7.264952426720655,6.784067827299993,42.46861716374618,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,173018.348309864,0.0 
 01/01  04:30:00,-1.9094249934013173,0.0,7.246989610024481,6.760032327590432,42.52289340408929,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,173782.45571090815,0.0 
 01/01  04:40:00,-2.0427583267346507,0.0,7.228789537456973,6.735676535630988,42.56815468615357,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,174546.19939834684,0.0 
 01/01  04:50:00,-2.176091660067984,0.0,7.210499566634801,6.711364086115809,42.60398359804614,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,175309.4276374195,0.0 
 01/01  05:00:00,-2.309424993401317,0.0,7.192108385702878,6.687069888091098,42.63102377919204,0.0,5812.315488,0.0,1044982.2631645959,0.0,,,,,,,,,,,,,968.719248,0.0,176072.13649521004,0.0 
 01/01  05:10:00,-2.459424993401317,0.0,7.17355904467004,6.662337253686956,42.64930488708556,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,176885.84472479434,0.0 
 01/01  05:20:00,-2.6094249934013176,0.0,7.1548751505675469,6.637131760635076,42.65847485945441,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,177698.21744966304,0.0 
 01/01  05:30:00,-2.7594249934013175,0.0,7.136073906822295,6.611663214744366,42.657995261271889,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,178507.72404372847,0.0 
 01/01  05:40:00,-2.909424993401317,0.0,7.117127904138415,6.586101816068003,42.64775979770707,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,179313.3364435015,0.0 
 01/01  05:50:00,-3.0594249934013177,0.0,7.098085136178943,6.560515603934727,42.6280321693106,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,180114.53387687275,0.0 
 01/01  06:00:00,-3.2094249934013177,0.0,7.078917739746676,6.5349033235328799,42.59925207764433,0.0,5812.315488,0.0,1073430.8499870739,0.0,,,,,,,,,,,,,968.719248,0.0,180911.19344851364,0.0 
 01/01  06:10:00,-3.142758326734651,0.0,7.062787856383415,6.515377776662413,42.56301252269055,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,181029.2381312171,0.0 
 01/01  06:20:00,-3.076091660067984,0.0,7.047620841758417,6.501995980166238,42.52594397484181,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,181138.047744922,0.0 
 01/01  06:30:00,-3.0094249934013175,0.0,7.033397446494945,6.491793165333984,42.49962640568569,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,181231.5885856467,0.0 
 01/01  06:40:00,-2.942758326734651,0.0,7.020002252457129,6.4825077029369819,42.49022649629304,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,181306.14578259178,0.0 
 01/01  06:50:00,-2.876091660067984,0.0,7.007029259099664,6.473372421672311,42.49872532872692,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,181360.9380212236,0.0 
 01/01  07:00:00,-2.809424993401317,0.0,6.994266447844897,6.464482167634188,42.523714012922,0.0,5812.315488,0.0,1087461.789281079,0.0,,,,,,,,,,,,,968.719248,0.0,181395.8310154778,0.0 
 01/01  07:10:00,-2.5594249934013177,0.0,6.983018147626782,6.459959678371969,42.55064052129668,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,180835.28684931278,0.0 
 01/01  07:20:00,-2.309424993401317,0.0,6.972319781309138,6.460201302944209,42.57819696631165,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,180253.69855639028,0.0 
 01/01  07:30:00,-2.059424993401317,0.0,6.962626699780261,6.463084273488876,42.61139263482277,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,179655.48133047057,0.0 
 01/01  07:40:00,-1.8094249934013174,0.0,6.9536872305279548,6.467073234481941,42.65358417375987,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,179039.84142560807,0.0 
 01/01  07:50:00,-1.5594249934013174,0.0,6.945409011510292,6.471470665437591,42.705721203455457,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,178405.16712390167,0.0 
 01/01  08:00:00,-1.3094249934013174,0.0,6.937644096116932,6.476390078488543,42.766406111830359,0.0,5812.315488,0.0,1075939.347856195,0.0,,,,,,,,,,,,,968.719248,0.0,177749.87257051163,0.0 
 01/01  08:10:00,-1.2094249934013175,0.0,6.929105314956797,6.478160833193217,42.8475325573314,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,177540.02905502704,0.0 
 01/01  08:20:00,-1.1094249934013175,0.0,6.920532588746218,6.476593374113201,42.943555218690409,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,177312.80054149268,0.0 
 01/01  08:30:00,-1.0094249934013174,0.0,6.915114236369414,6.474456437579763,43.0455203817927,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,177072.32985357924,0.0 
 01/01  08:40:00,-0.9094249934013173,0.0,6.91474030472676,6.475092014150005,43.14322241510081,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,176825.21720968767,0.0 
 01/01  08:50:00,-0.8094249934013174,0.0,6.916646300326223,6.479537139481364,43.233364640152448,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,176565.73281703818,0.0 
 01/01  09:00:00,-0.7094249934013173,0.0,6.922402474062416,6.487639844497261,43.31616753010192,0.0,5812.315488,0.0,1061599.4376447385,0.0,,,,,,,,,,,,,968.719248,0.0,176283.3281679138,0.0 
 01/01  09:10:00,-0.676091660067984,0.0,6.930002632870308,6.497057747291045,43.395084230849757,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,176170.1452125252,0.0 
 01/01  09:20:00,-0.6427583267346506,0.0,6.94027111930535,6.50727644317453,43.47710201320202,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,176019.5819705568,0.0 
 01/01  09:30:00,-0.6094249934013173,0.0,6.9518697743835828,6.5186354305451339,43.561262443922277,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,175828.91189471176,0.0 
 01/01  09:40:00,-0.576091660067984,0.0,6.970284448753623,6.533183353380407,43.64116957188399,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,175597.8238378805,0.0 
 01/01  09:50:00,-0.5427583267346506,0.0,6.991690582274869,6.551914726438567,43.71349813933812,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,175323.2418518297,0.0 
 01/01  10:00:00,-0.5094249934013173,0.0,7.016961309424121,6.57470172654553,43.77831116663769,0.0,5812.315488,0.0,1053936.1710532387,0.0,,,,,,,,,,,,,968.719248,0.0,174996.46628573477,0.0 
 01/01  10:10:00,-0.4094249934013173,0.0,7.045685704127207,6.602595965288932,43.82942032302299,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,174409.3246297863,0.0 
 01/01  10:20:00,-0.30942499340131737,0.0,7.07878131368795,6.635374471825917,43.86344689957038,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,173756.52706732416,0.0 
 01/01  10:30:00,-0.20942499340131733,0.0,7.114610097906341,6.672095337121654,43.88232597980385,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,173034.7401276409,0.0 
